edep,t,x,y,z,pid
8.99e-06,1059.02,7212.26,-328.624,7335.83,22
1.361e-05,1060.89,7679.73,-303.291,7301.43,22
1.419e-05,1060.92,7685.79,-295.39,7293.13,22
0.0546532,1060.94,7685.91,-295.23,7292.96,11
0.00360597,1060.9,7679.91,-303.151,7301.33,11
0.0334462,1059.02,7212.35,-328.856,7335.77,11
1.00676e-06,16923.8,6244.73,383.554,7926.71,2212
2.19264e-08,16512.5,6241.51,382.468,7920.62,2212
1.65087e-05,16059.3,6239.3,381.192,7913.36,2212
0.000160803,16013.2,6236.6,381.373,7913.45,2212
9.88019e-06,15994.5,6235.91,384.732,7912.94,1.00006e+09
0.000334602,15804.3,6232.76,405.734,7883.73,2212
8.08889e-05,15767.6,6223.27,411.388,7880.24,2212
0.00137473,6634.8,6282.41,198.095,8001.98,2212
0.000274339,6632.38,6282.99,199.308,8002.97,2212
0.00161613,5310.44,6283.69,241.046,8033.06,2212
0.00130225,5308.17,6283.88,239.63,8031.41,1.00006e+09
1.84528e-08,69220.3,6150.72,336.214,7346.76,2212
1.03546e-08,68049.4,6148.89,338.688,7347.71,1.00006e+09
2.0385e-08,67892.5,6149.05,339.083,7347.81,2212
3.24974e-09,64660,6150.31,340.323,7355.75,1.00006e+09
1.86208e-08,59375,6159.47,337.558,7348.06,2212
4.95452e-09,55367.9,6166.41,330.72,7341.98,2212
1.32602e-07,52319,6167.71,329.929,7338.17,2212
2.67518e-08,47545.2,6155.59,332.068,7358.43,2212
2.80257e-08,47522.6,6155.53,332.1,7358.47,2212
3.56214e-08,46158.8,6152.67,331.751,7360.24,2212
1.80043e-07,34016.7,6129.44,334.852,7361.53,2212
1.14743e-07,33575.3,6128.25,335.374,7363.85,1.00006e+09
2.64672e-07,28594.4,6109.56,307.858,7377.08,2212
4.40345e-08,28343.8,6108.38,306.255,7376.2,2212
5.63796e-07,28302.4,6108.13,306.034,7376.06,2212
2.55609e-07,28118.7,6106.01,305.429,7377.23,2212
8.26023e-07,26549.4,6087.77,308.809,7392.32,2212
3.33726e-07,24557.9,6073.16,330.305,7421.61,2212
4.20479e-07,23365.4,6057.99,346.251,7433.82,2212
9.28005e-07,20344.1,6046.5,402.475,7472.02,2212
1.63713e-07,20262.2,6046.99,404.457,7472.73,2212
1.4868e-06,19857.7,6048.18,413.939,7477.88,1.00006e+09
1.66508e-06,15838.8,6034.33,401.507,7533.58,2212
1.1833e-05,15805.2,6035.05,402.481,7533.43,2212
1.40204e-05,15152.9,6040.73,433.553,7556.28,2212
0.000155625,15002.7,6043,436.782,7567.46,2212
0.000279365,14957.6,6036.77,441.269,7571.23,2212
0.000994758,14932.5,6037.19,447.137,7575.92,2212
0.000170192,14927.3,6035.57,449.366,7575.78,2212
0.000772476,14889.8,6018.8,461.806,7577.19,2212
0.00341395,2561.84,6216.46,392.835,7398.02,2212
0.0250962,2552.31,6219.67,401.387,7403.79,2212
2.722e-05,18354.9,7217.5,-388.465,7805.58,22
0.00029101,18355.4,7259.4,-401.44,7666.98,22
1.361e-05,18355.6,7295.14,-452.564,7679.79,22
8.99e-06,18356.2,7468.06,-381.949,7775.21,22
0.00402056,18356.3,7468.26,-381.864,7775.33,11
0.00260177,18355.6,7295.23,-452.798,7679.82,11
0.00601361,18355.4,7259.47,-401.46,7666.74,11
0.00743673,18354.9,7217.38,-389.472,7806.63,11
0.00529428,18354.9,7218.02,-387.454,7804.84,11
2.23742e-08,202801,6161.26,301.046,7934.71,2212
8.77911e-08,201738,6159.7,299.245,7936.55,2212
3.16634e-08,200347,6157.87,297.02,7941.8,2212
5.95929e-08,200259,6157.76,296.797,7942.07,2212
7.82778e-08,200147,6157.91,296.381,7942.4,2212
4.57093e-08,198689,6155.1,292.524,7945.7,2212
2.49567e-08,187529,6154.79,264.628,7971.11,2212
6.27557e-08,186398,6156.08,263.275,7973.68,1.00006e+09
8.71235e-08,185318,6154.54,262.185,7974.39,2212
3.28345e-08,184389,6154.72,262.051,7976.27,2212
4.34081e-08,168641,6188.66,263.392,8012.15,1.00006e+09
3.17466e-09,168526,6188.3,263.536,8012.11,2212
1.16907e-07,167820,6187.63,263.339,8011.16,2212
6.84822e-08,164351,6176.77,257.358,8012.39,2212
3.24267e-08,163799,6175.39,256.971,8012.68,2212
5.93607e-08,163189,6173.99,256.542,8012.69,1.00006e+09
4.06775e-09,144321,6158.24,204.363,8011.04,2212
2.75382e-08,136932,6165.85,197.581,8005.01,2212
1.86515e-08,91284.1,6155.34,227.942,7983.43,2212
3.41261e-08,90870,6155.17,228.508,7983.13,2212
1.27936e-07,71254,6139.01,264.484,7950.89,2212
8.39155e-08,55109.7,6147.8,318.627,7891.67,2212
3.34093e-08,54167.4,6150.41,322.801,7890.41,2212
2.70865e-08,51651.1,6154.94,320.735,7894.43,2212
1.70902e-09,38460,6158.61,350.464,7914.35,2212
9.23144e-08,22717.3,6167.9,364.902,7911.81,2212
2.78566e-08,22150.7,6165.81,364.729,7911.44,1.00006e+09
5.12602e-09,21768.4,6164.54,364.848,7912.21,2212
1.44157e-07,20304.3,6159.73,363.774,7912.52,2212
2.32591e-06,7757.74,6100.15,352.897,7865.45,2212
1.81449e-07,6076.27,6107.22,369.549,7833.3,2212
0.000281303,5795.46,6106.58,372.452,7827.68,2212
0.00305866,5791.97,6105.89,372.081,7827.47,2212
6.10523e-05,4037.1,7200.87,414.844,7694.5,2212
4.64383e-05,3890.3,7198.06,446.457,7698.88,2212
9.46104e-05,3799.4,7200.36,465.434,7708.96,1.00006e+09
7.64498e-06,3791.71,7201.71,464.516,7707.64,2212
0.000217365,3763.98,7205.88,461.227,7702.14,2212
0.00571301,3760.33,7207.03,460.806,7701.86,2212
2.43901e-08,64890.4,6008.83,327.281,7985.62,1.00006e+09
2.81719e-08,63380.2,6010.24,325.988,7982.39,2212
1.01884e-07,45925.8,6026.24,318.668,7970.82,1.00006e+09
8.627e-08,44723.3,6025.81,318.223,7968.5,2212
1.31005e-07,44301.9,6025.91,317.591,7967.07,2212
3.45897e-08,43950.1,6025.37,318.647,7966.44,2212
1.22439e-07,43264.3,6024.43,320.385,7964.12,2212
1.0529e-07,43215.8,6024.19,320.443,7963.95,1.00006e+09
4.32363e-07,41475,6034.36,327.005,7966.47,2212
1.25078e-06,39494.4,6050.11,326.863,7982.6,2212
1.3018e-05,2317.35,6210.53,183.471,8078.16,2212
5.36601e-05,2116.54,6218.54,183.904,8069.91,2212
9.52666e-05,1467.61,6204.46,221.498,8005.96,2212
8.43674e-05,1377.59,6198.13,216.681,7992.02,2212
0.000940916,723.272,6199.67,280.278,7999.72,2212
0.000702641,716.154,6202.66,280.551,8001.32,2212
0.021842,684.409,6210.68,286.404,8017.68,2212
0.00245405,680.464,6218.97,286.422,8016.36,2212
0.0189509,679.503,6221.1,286.553,8016.67,2212
0.00805927,678.198,6223.72,289.081,8017.87,2212
0.0497917,676.46,6228.77,291.287,8018.52,2212
0.277912,664.679,6260.82,320.967,7989.8,2212
1.78546e-07,32008.8,7362.41,260.468,7955.59,2212
4.01303e-08,22826.1,7339.3,317.262,7970.13,2212
1.19332e-06,22742.3,7339.17,317.784,7969.97,2212
4.12859e-06,22163.2,7336.62,315.241,7961.21,2212
4.2311e-06,20776.1,7360.64,303.255,7925.42,2212
6.78746e-06,14420.8,7325.03,373.874,7801.27,2212
5.53272e-06,14413.7,7325.06,374.282,7801.23,1.00006e+09
6.76494e-06,14400.1,7325.72,373.677,7801.2,1.00006e+09
1.81974e-05,14385.2,7324.9,373.69,7800.43,2212
4.68471e-06,12457.5,7211.38,372.334,7810.78,2212
0.000516882,12288.7,7201.22,385.142,7804.03,2212
0.00192456,12274.8,7197.03,384.943,7805.99,2212
8.99e-06,150587,6245.73,452.56,7729.68,22
0.210304,150587,6245.78,452.139,7729.72,11
4.8176e-08,96556.3,6186.91,447.253,7605.73,2212
5.68628e-08,95243.1,6188.84,443.172,7606.28,1.00006e+09
4.30666e-08,95075.6,6188.21,443.419,7606.54,2212
1.19136e-08,94309.7,6185.4,444.15,7607.31,2212
2.33393e-08,94075.5,6184.56,444.072,7607.7,2212
6.91943e-08,92860.5,6185.12,444.35,7611.57,2212
1.34706e-08,85000.5,6157.16,452.9,7634.01,2212
4.00699e-09,81447.7,6143.01,448.066,7635.74,1.00006e+09
2.89064e-08,81224.8,6142.56,448.244,7636.53,2212
4.2703e-09,80567.1,6141.77,448.557,7636.97,2212
3.51448e-09,80394.2,6141.6,448.655,7637.05,2212
2.23737e-08,66600.5,6129.92,459.038,7648.38,2212
1.64919e-09,62377.3,6125.15,465.057,7651.7,2212
2.74671e-08,61082.1,6123.36,465.829,7651.56,2212
1.69015e-07,54573.1,6125.95,464.691,7648.39,2212
1.06539e-07,52264.3,6130.68,465.885,7646.73,2212
1.46346e-08,47296.6,6139.32,452.317,7657.1,2212
2.88886e-09,46615.5,6140.02,450.354,7657.21,2212
1.02541e-07,40068.8,6135.55,449.802,7649.5,2212
2.3521e-07,39590.2,6135.39,451.772,7649.82,2212
5.81151e-08,38011.6,6138.73,449.808,7660.31,1.00006e+09
6.19082e-08,37853.2,6139.03,450.197,7661.39,1.00006e+09
1.9712e-08,37519.4,6141.73,449.833,7661.5,1.00006e+09
7.31243e-08,23185.6,6236.69,406.361,7711,2212
1.66837e-06,23007.2,6237.69,405.172,7711.29,2212
6.96972e-08,22660.8,6242.68,404.5,7715.86,2212
6.06738e-07,22582.6,6243.64,404.214,7717.04,1.00006e+09
5.61923e-06,2751.7,6116.06,420.586,7661.27,2212
1.17251e-06,2380.11,6130.93,420.165,7662.68,2212
2.14584e-05,2377.23,6131.05,420.186,7662.65,2212
1.02457e-05,2360.69,6131.73,421.146,7663.15,2212
1.08008e-06,1723.03,6180.83,439.684,7684.31,1.00006e+09
2.22464e-05,1722.33,6180.87,439.7,7684.35,2212
1.16954e-05,1676.81,6183.5,443.497,7686.4,2212
0.0013902,1530.01,6187.25,457.131,7697.05,2212
0.00601092,1483.3,6165.25,467.678,7701.16,2212
0.00227621,805.212,6157.5,425.538,7493.03,2212
0.00309868,777.985,6169.7,387.74,7495.84,2212
2.78951e-05,777.126,6169.93,386.546,7496.57,2212
0.00256089,772.865,6170.81,380.559,7500.19,2212
0.00756487,769.973,6171.34,375.442,7500.92,2212
0.0450661,660.848,6055.21,435.802,7557.48,2212
0.0463155,629.544,5944.79,409.427,7572.16,2212
0.120974,599.032,5819.76,409.104,7501.03,2212
0.00507002,1356.5,5917.63,354.863,7423.09,2212
0.0449266,1353.01,5914.86,352.708,7424.74,2212
0.120228,1353.01,5914.86,352.683,7424.73,2212
4.80655e-08,570090,6099.39,363.632,7855.38,2212
1.09266e-08,560085,6079.72,391.776,7857.31,2212
4.04309e-08,553831,6065.02,405.958,7858.77,2212
9.85494e-08,552549,6061.12,406.349,7859.53,2212
4.91091e-08,548625,6073.69,408.533,7853,2212
8.43614e-08,547792,6073.48,408.015,7849.75,2212
3.17008e-08,547546,6073.48,408.012,7849.29,2212
1.50989e-08,546457,6073.49,408.989,7847.79,2212
6.46674e-08,545850,6073.48,409.221,7847.28,2212
1.25222e-07,526209,6064.6,375.534,7810.44,1.00006e+09
8.00743e-09,525366,6063.9,375.077,7812.99,2212
6.17348e-08,484103,6003.52,387.844,7894.56,2212
6.93527e-09,483944,6003.23,387.986,7895,2212
3.17419e-08,477224,6001.95,377.542,7893.49,2212
1.4057e-08,471970,5996.08,372.334,7894.64,2212
8.23257e-08,466684,5992.37,375.813,7889.73,2212
